name,RAM,CPU,Storage,Resolution,Refresh rate,GPU,Price
Lenovo Legion Slim 5 16IRH8 Misty Grey kovový,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",2560 × 1600 px,165 Hz,NVIDIA GeForce,"25 335,-"
ASUS Vivobook Pro 16 OLED K6602VU-OLED006W Quiet Blue...,16 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),3200 × 2000 px,120 Hz,Windows 11 Home,"45 751,-"
Lenovo Legion Slim 5 16APH8 Storm Grey kovový,16 GB,AMD Ryzen 5 7640HS,1 000 GB (1 TB),2560 × 1600 px,165 Hz,Windows 11 Home,"35 190,-"
VICTUS vy HP 15-fb1900nc Performance Blue,16 GB,AMD Ryzen 5 7535HS,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"Numerická klávesnice, Operační systém","19 990,-"
Alza Gamebook GTX1650,8 GB,Intel Core i5 11400H Tiger Lake,"500 GB (0,5 TB)",1920 × 1080 px,144 Hz,720 px,"16 990,-"
ASUS TUF Gaming F15 FX506HC-HN394W Graphite Black,16 GB,Intel Core i5 11400H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Windows 11 Home,"19 990,-"
Dell XPS 17 9730,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,NVIDIA GeForce,"99 890,-"
Acer Nitro V15 Shale Black,16 GB,Intel Core i5 13420H Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"19 990,-"
HP ENVY 16-h0001nc Silver Celokovový,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,1 000 GB,"45 641,-"
OMEN 16-wf0001nc Shadow black,32 GB,Intel Core i7 13700HX Raptor Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,RTX 4080,"61 328,-"
Lenovo Yoga Pro 9 16IRP8 Storm Grey celokovový,64 GB,Intel Core i9 13905H Raptor Lake,1 000 GB (1 TB),3200 × 2000 px,16:10,NVIDIA GeForce,"61 855,-"
ASUS Vivobook 16X OLED K3605VC-MX051W Indie Black...,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3200 × 2000 px,120 Hz,1 000 GB (1 TB),"33 990,-"
Acer Predator Helios 18 Abyssal Black kovový,32 GB,Intel Core i9 13900HX Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,16:10,RTX 4080,"73 862,-"
ASUS ROG Strix G17 G713PV-HX048 Eclipse Gray kovový,16 GB,AMD Ryzen 9 7845HX,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Bez operačního systému,"34 311,-"
ASUS ROG Strix SCAR 17 SE G733CX-KH088W Off Black...,1 TB (1 000 GB),32 GB,1 000 GB (1 TB),1920 × 1080 px,360 Hz,1 TB (1 000 GB),"95 990,-"
Alza Gamebook RTX 3060,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,720 px,"22 871,-"
ASUS ProArt Studiobook 16 OLED H5600QM-OLED149W Star...,16 GB,AMD Ryzen 7 5800H,"512 GB (0,51 TB)",3840 × 2400 px,550 Nits,4ks,"38 983,-"
Dell Gaming G15 (5530),16 GB,Intel Core i7 13650HX Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,165 Hz,Windows 11 Home,"35 192,-"
ASUS ROG Strix G17 G713RM-KH005W Eclipse Gray,16 GB,AMD Ryzen 7 6800H,"512 GB (0,51 TB)",1920 × 1080 px,360 Hz,90 Wh,"31 116,-"
Acer Nitro 5 Shale Black,8 GB,Intel Core i5 11400H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","14 931,-"
Acer Predator Helios 300 Abyssal Black kovový,16 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"29 732,-"
Lenovo Yoga Slim 7 Pro 16ACH6 Storm Grey celokovový,16 GB,AMD Ryzen 7 5800H,1 000 GB (1 TB),2560 × 1600 px,120 Hz,1 000 GB (1 TB),"23 583,-"
Acer Nitro 16 Obsidian Black,16 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1600 px,165 Hz,1 000 GB,"32 991,-"
Lenovo Yoga Pro 9 16IRP8 Tidal Teal celokovový,32 GB,Intel Core i9 13905H Raptor Lake,1 000 GB (1 TB),3200 × 2000 px,16:10,NVIDIA GeForce,"49 623,-"
Lenovo Legion 5 Pro 16IAH7H Storm Grey kovový,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,RTX 3070 Ti,"45 641,-"
ASUS ROG Zephyrus G14 GA402NU-NEBULA027W Eclipse Gray,16 GB,AMD Ryzen 7 7735HS,"512 GB (0,51 TB)",2560 × 1600 px,165 Hz,RTX 4050,"42 490,-"
Acer Nitro 5 Shale Black,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"20 742,-"
Acer Nitro 5 Obsidian Black ,16 GB,Intel Core i5 12500H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"26 391,-"
Acer Nitro 5 Shale Black,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB (1 TB),"21 992,-"
VICTUS by HP 15-fb0910nc Performance Blue,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,", Numerická klávesnice, Čtečka paměťových karet, Operační systém","14 438,-"
ASUS TUF Dash F15 FX517ZM-HN178W Off Black,16 GB,Intel Core i7 12650H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Windows 11 Home,"30 701,-"
Acer Nitro 5 Shale Black ,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","19 131,-"
Lenovo IdeaPad 5 Pro 16ARH7 Storm Grey celokovový,16 GB,AMD Ryzen 7 6800HS,1 000 GB (1 TB),2560 × 1600 px,120 Hz,1 000 GB (1 TB),"24 631,-"
Lenovo IdeaPad Gaming 3 15IHU6 Shadow Black,16 GB,Intel Core i5 11320H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,RTX 3050,"15 354,-"
ASUS TUF Dash F15 FX517ZM-HN118W Off Black,16 GB,Intel Core i7 12650H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,720 px,"25 951,-"
ASUS ROG Strix G16 G614JZ-N3001W Eclipse Gray kovový,16 GB,Intel Core i7 13650HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1200 px,165 Hz,RTX 4080,"50 622,-"
Acer Nitro 5 Obsidian Black ,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"33 431,-"
GIGABYTE AORUS 15 9KF,8 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"Operační systém, ","33 890,-"
Acer Nitro 5 Shale Black,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"24 631,-"
ASUS TUF Gaming A15 FA507NU-LP054 Jaeger Gray kovový,16 GB,AMD Ryzen 7 7735HS,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Bez operačního systému,"23 751,-"
Acer Nitro 16 Obsidian Black,16 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1600 px,165 Hz,1 000 GB,"33 990,-"
GIGABYTE G7 MF,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,2 ×,"27 490,-"
Acer Nitro 5 Obsidian Black ,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,165 Hz,Windows 11 Home,"28 151,-"
Acer Swift X 14 Steel Gray celokovový,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2880 × 1800 px,120 Hz,1 ×,"37 990,-"
ASUS TUF Gaming A16 Advantage Edition FA617XS-N3032W...,16 GB,AMD Ryzen 9 7940HS,"512 GB (0,51 TB)",1920 × 1200 px,165 Hz,0 ×,"38 990,-"
Razer Blade 16 QHD+,16 GB,Intel Core i9 13950HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,"Čtečka paměťových karet, Operační systém, ","81 990,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13420H Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,NVIDIA GeForce,"26 989,-"
ASUS Zenbook Pro 16X OLED UX7602ZM-ME008W Tech Black...,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,", RGB podsvícená klávesnice","66 990,-"
Dell Gaming G16 (7630) US,16 GB,Intel Core i7 13650HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"39 990,-"
Lenovo Legion Slim 5 16IRH8 Storm Grey kovový,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"36 989,-"
GIGABYTE G7 KF,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,2 ×,"28 290,-"
MSI Stealth 17 Studio A13VH-054CZ,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,1 ×,"72 990,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13420H Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,NVIDIA GeForce,"29 989,-"
Alza Gamebook GTX1650,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,720 px,"18 990,-"
OMEN 17-ck1050nc Shadow Black,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,Bez operačního systému,"43 290,-"
Acer Nitro 16 Obsidian Black,32 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1600 px,165 Hz,1 000 GB,"39 990,-"
Lenovo ThinkPad P1 Gen 5 Black ,16 GB,Intel Core i7 12800H Alder Lake,"512 GB (0,51 TB)",2560 × 1600 px,165 Hz,Windows 11 Pro,"101 690,-"
ASUS Zenbook Pro 14 Duo OLED UX8402VU-OLED026WS Tech...,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2880 × 1800 px,120 Hz,Windows 11 Home,"68 490,-"
ASUS Zenbook Pro 14 Duo OLED UX8402VV-OLED037X Tech...,32 GB,Intel Core i9 13900H Raptor Lake,2 000 GB (2 TB),2880 × 1800 px,120 Hz,2 000 GB,"75 490,-"
ASUS Zenbook Pro 16X OLED UX7602BZ-OLED011X Tech Black...,32 GB,Intel Core i9 13905H Raptor Lake,2 000 GB (2 TB),3200 × 2000 px,120 Hz,2 000 GB (2 TB),"102 990,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13420H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"31 989,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"34 989,-"
Acer Nitro 17 Obsidian Black,16 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"41 990,-"
Acer Nitro 5 Obsidian Black,32 GB,AMD Ryzen 9 7940HS,1 000 GB (1 TB),2560 × 1440 px,165 Hz,Windows 11 Home,"51 990,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13500H Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,RTX 4060,"31 989,-"
Dell Inspiron 16 Plus (7620) Green,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",3072 × 1920 px,60 Hz,512 GB,"32 990,-"
HP ZBook Studio 16 G9,64 GB,Intel Core i7 12800H Alder Lake,2 000 GB (2 TB),3840 × 2400 px,120 Hz,2 000 GB,"124 990,-"
VICTUS by HP 16-e0020nc Shadow Black,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"25 290,-"
Lenovo Legion 7 16ARHA7 Storm Grey celokovový,16 GB,AMD Ryzen 7 6800H,1 000 GB (1 TB),2560 × 1600 px,165 Hz,1 000 GB (1 TB),"54 990,-"
Dell Inspiron 16 Plus (7620) Green,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3072 × 1920 px,60 Hz,Windows 11 Pro,"43 890,-"
ASUS ROG Zephyrus Duo 16 GX650PY-NEBULA032W Black...,32 GB,AMD Ryzen 9 7945HX,2 000 GB (2 TB),2560 × 1600 px,16:10,2 000 GB,"113 490,-"
ASUS ROG Zephyrus G16 GU603ZI-NEBULA010 Eclipse Gray...,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,Bez operačního systému,"53 490,-"
ASUS ROG Zephyrus M16 GU603ZI-N3009 Eclipse Gray...,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",1920 × 1200 px,165 Hz,Bez operačního systému,"46 990,-"
OMEN 16-n0051nc Mica Silver,16 GB,AMD Ryzen 7 6800H,1 000 GB (1 TB),2560 × 1440 px,165 Hz,"Čtečka paměťových karet, ","34 090,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"32 989,-"
MSI GF63 Thin 12VF-453XCZ,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"25 990,-"
OMEN 17-ck2001nc Shadow Black,32 GB,Intel Core i7 13700HX Raptor Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,2 000 GB,"69 990,-"
Lenovo IdeaPad Gaming 3 15ARH7 Onyx Grey + herní myš...,16 GB,AMD Ryzen 5 7535HS,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,Windows 11 Home,"26 989,-"
Lenovo Legion S7 16ARHA7 Onyx Grey celokovový,16 GB,AMD Ryzen 5 6600H,"512 GB (0,51 TB)",1920 × 1200 px,165 Hz,"512 GB (0,51 TB)","29 989,-"
GIGABYTE AORUS 17X AZF,Intel Core i9 13980HX Raptor Lake,"1,3 GHz (1 300 MHz)",32 GB,2560 × 1440 px,240 Hz,2 000 GB,"86 990,-"
MSI Katana GF66 12UC-853CZ,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","28 990,-"
ASUS ROG Zephyrus M16 GU604VZ-NEBULA030W Off Black...,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,1 000 GB,"82 990,-"
Acer Predator Triton 14 Sparkly Silver celokovový,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,16:10,1 000 GB,"54 890,-"
MSI Stealth 16 Studio A13VG-078CZ,32 GB,Intel Core i7 13700H Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,240 Hz,2 000 GB (2 TB),"54 990,-"
Dell Gaming G15 (5530),32 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,165 Hz,Windows 11 Home,"51 390,-"
Acer Predator Helios 16 Abyssal Black kovový,32 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4070,"53 490,-"
"GIGABYTE AERO 16 OLED
BSF",16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,1 000 GB (1 TB),"54 990,-"
MSI Cyborg 15 A12VE-081CZ,16 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","30 790,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"34 989,-"
Microsoft Surface Laptop Studio Platinum + Surface Pen...,32 GB,Intel Core i7 11370H Tiger Lake,1 000 GB (1 TB),2400 × 1600 px,120 Hz,MS Surface 6-pin,"64 990,-"
GIGABYTE AORUS 17H BXF,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,360 Hz,1 000 GB,"59 990,-"
ASUS ROG Zephyrus G16 GU603ZU-N3015 Eclipse Gray...,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",1920 × 1200 px,165 Hz,Bez operačního systému,"35 490,-"
Lenovo Yoga Pro 9 16IRP8 Storm Grey celokovový,32 GB,Intel Core i9 13905H Raptor Lake,1 000 GB (1 TB),3200 × 2000 px,165 Hz,Windows 11 Home,"49 990,-"
ASUS TUF Gaming F15 FX506HC-HN004 Graphite Black,16 GB,Intel Core i5 11400H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"20 590,-"
"GIGABYTE AERO 14 OLED
BMF",16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2880 × 1800 px,60 Hz,", Čtečka paměťových karet, Operační systém, ","42 990,-"
MSI Stealth 16 AMG A13VG-273CZ,32 GB,Intel Core i9 13900H Raptor Lake,2 000 GB (2 TB),3840 × 2400 px,60 Hz,RTX 4070,"69 990,-"
Lenovo Legion 5 15ACH6A Stingray/Dove Grey,16 GB,AMD Ryzen 5 5600H,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB (1 TB),"28 989,-"
Microsoft Surface Laptop Studio Platinum,32 GB,Intel Core i7 11370H Tiger Lake,2 000 GB (2 TB),2400 × 1600 px,120 Hz,Bez možnosti nabíjet přes USB-C,"74 990,-"
Lenovo Yoga Pro 9 16IRP8 Tidal Teal celokovový,64 GB,Intel Core i9 13905H Raptor Lake,1 000 GB (1 TB),3200 × 2000 px,16:10,Windows 11 Pro,"67 990,-"
Acer Predator Helios 16 Abyssal Black kovový,32 GB,Intel Core i9 13900HX Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,16:10,RTX 4080,"77 990,-"
Razer Blade 18 QHD+ Black,32 GB,Intel Core i9 13950HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,1 000 GB,"85 990,-"
Acer Predator Helios Neo 16 Obsidian Black kovový,32 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,Windows 11 Home,"51 990,-"
Alza Gamebook i7 RTX 3070,32 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,", Operační systém","35 990,-"
Acer Nitro 5 Shale Black,16 GB,Intel Core i5 11400H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Windows 11 Home,"21 990,-"
ASUS ROG Strix SCAR 17 G733PY-LL038W Off Black kovový,32 GB,AMD Ryzen 9 7845HX,1 000 GB (1 TB),2560 × 1440 px,240 Hz,Windows 11 Home,"82 990,-"
Dell Inspiron 16 Plus (7620) Green,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",3072 × 1920 px,60 Hz,Windows 11 Pro,"37 190,-"
Dell Gaming G15 (5530),16 GB,Intel Core i5 13450HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,165 Hz,Windows 11 Home,"37 090,-"
Lenovo Legion S7 16ARHA7 Onyx Grey celokovový,16 GB,AMD Ryzen 7 6800H,1 000 GB (1 TB),1920 × 1200 px,165 Hz,1 000 GB (1 TB),"37 989,-"
Alza Gamebook GTX1650,8 GB,Intel Core i5 11400H Tiger Lake,"500 GB (0,5 TB)",1920 × 1080 px,144 Hz,", Operační systém","17 490,-"
Dell Inspiron 16 Plus (7620) Green,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3072 × 1920 px,60 Hz,RTX 3060,"40 590,-"
ASUS ROG Strix Scar 18 G834JY-NEBULA054W Black kovový,64 GB,Intel Core i9 13980HX Raptor Lake,4 000 GB (4 TB),2560 × 1600 px,240 Hz,Windows 11 Home,"111 490,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13500H Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,NVIDIA GeForce,"31 989,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13420H Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,NVIDIA GeForce,"24 989,-"
MSI Thin GF63 12UCX-812XCZ,8 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,"512 GB (0,51 TB)","16 490,-"
Alza Gamebook 3050Ti,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB,"22 990,-"
Dell Gaming G16 (7630) US,32 GB,Intel Core i7 13700HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,RTX 4060,"52 390,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 12500H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"31 990,-"
Lenovo Legion Slim 5 16IRH8 Storm Grey kovový,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"32 989,-"
Lenovo IdeaPad Gaming 3 15ARH7 Onyx Grey,16 GB,AMD Ryzen 5 7535HS,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,RTX 4050,"26 989,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 12500H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Bez operačního systému,"29 290,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13420H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"31 989,-"
GIGABYTE G7 MF,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,2 ×,"24 990,-"
Dell Gaming G15 (5530),16 GB,Intel Core i7 13650HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,Windows 11 Home,"33 090,-"
Acer Nitro 5 Obsidian Black,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"37 990,-"
MSI Crosshair 15 C12VG-289CZ,16 GB,Intel Core i7 12650H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,240 Hz,RTX 4070,"38 990,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i7 12650H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,Bez operačního systému,"36 990,-"
Lenovo Legion Slim 5 16IRH8 Storm Grey kovový,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,NVIDIA GeForce,"32 490,-"
Acer Nitro 5 Obsidian Black,16 GB,Intel Core i5 12450H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"33 990,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i7 13620H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"34 290,-"
Alza Gamebook GTX1650,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,", Operační systém","19 990,-"
Lenovo Legion Slim 5 16IRH8 Misty Grey kovový,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,NVIDIA GeForce,"34 989,-"
ASUS ROG Strix G15 G513RM-HF329W Eclipse Gray,32 GB,AMD Ryzen 7 6800H,"512 GB (0,51 TB)",1920 × 1080 px,300 Hz,4ks,"39 990,-"
Acer Nitro 5 Obsidian Black,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,165 Hz,Windows 11 Home,"37 990,-"
Lenovo LOQ 15APH8 Storm Grey,16 GB,AMD Ryzen 7 7840HS,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Windows 11 Home,"31 989,-"
Dell Inspiron 14 7430 Silver,16 GB,Intel Core i7 13700H Raptor Lake,"512 GB (0,51 TB)",2560 × 1600 px,90 Hz,NVIDIA GeForce,"35 690,-"
Lenovo ThinkBook 16p G4 IRH Storm Grey,16 GB,Intel Core i7 13700H Raptor Lake,"512 GB (0,51 TB)",2560 × 1600 px,60 Hz,Windows 11 Pro,"49 690,-"
Lenovo Yoga Pro 7 14APH8 Storm Grey celokovový,16 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),3072 × 1920 px,120 Hz,1 000 GB (1 TB),"36 989,-"
Dell Inspiron 14 Plus (7420) Green,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",2240 × 1400 px,60 Hz,Windows 11 Pro,"35 090,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i7 13620H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"36 989,-"
Dell Gaming G16 (7630) US,32 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,Windows 11 Home,"54 690,-"
Dell Inspiron 16 Plus (7620) Green,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",3072 × 1920 px,60 Hz,512 GB,"35 890,-"
ASUS TUF Gaming A16 Advantage Edition...,16 GB,AMD Ryzen 9 7940HS,1 000 GB (1 TB),2560 × 1600 px,240 Hz,1 000 GB,"43 990,-"
Microsoft Surface Laptop Studio Platinum,32 GB,Intel Core i7 11370H Tiger Lake,1 000 GB (1 TB),2400 × 1600 px,120 Hz,18 h,"64 990,-"
Acer Swift X 14 Steel Gray celokovový,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2880 × 1800 px,120 Hz,1 ×,"44 990,-"
Lenovo Legion Pro 5 16IRX8 Onyx Grey kovový,16 GB,Intel Core i7 13700HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,NVIDIA GeForce,"37 989,-"
VICTUS by HP 16-s0050nc Mica Silver,32 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Bez možnosti nabíjet přes USB-C,"39 390,-"
Lenovo Legion Pro 5 16ARX8 Onyx Grey kovový,16 GB,AMD Ryzen 7 7745HX,1 000 GB (1 TB),2560 × 1600 px,165 Hz,RTX 4070,"45 989,-"
Dell Gaming G16 (7630) US,32 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,Windows 11 Home,"61 190,-"
Dell Inspiron 14 Plus (7420),16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",2240 × 1400 px,60 Hz,Windows 11 Home,"29 990,-"
Lenovo IdeaPad Gaming 3 15IAH7 Onyx Grey,8 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,RTX 3050,"19 989,-"
